period_end_date,revenue,form,fp,fy,filed_date,calendar_frame,tag_used_revenue,net_income,tag_used_net_income,opex,tag_used_opex,ticker,cik
2019-03-30,58015000000.0,10-Q,Q2,2019.0,2019-05-01,,RevenueFromContractWithCustomerExcludingAssessedTax,11561000000.0,NetIncomeLoss,8406000000.0,OperatingExpenses,AAPL,0000320193
2019-06-29,53809000000.0,10-Q,Q3,2019.0,2019-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,10044000000.0,NetIncomeLoss,8683000000.0,OperatingExpenses,AAPL,0000320193
2019-09-28,64040000000.0,10-K,Q4,2019.0,2019-10-31,,RevenueFromContractWithCustomerExcludingAssessedTax,13686000000.0,NetIncomeLoss,8688000000.0,OperatingExpenses,AAPL,0000320193
2019-12-28,91819000000.0,10-Q,Q1,2020.0,2020-01-29,,RevenueFromContractWithCustomerExcludingAssessedTax,22236000000.0,NetIncomeLoss,9648000000.0,OperatingExpenses,AAPL,0000320193
2020-03-28,58313000000.0,10-Q,Q2,2020.0,2020-05-01,,RevenueFromContractWithCustomerExcludingAssessedTax,11249000000.0,NetIncomeLoss,9517000000.0,OperatingExpenses,AAPL,0000320193
2020-06-27,59685000000.0,10-Q,Q3,2020.0,2020-07-31,,RevenueFromContractWithCustomerExcludingAssessedTax,11253000000.0,NetIncomeLoss,9589000000.0,OperatingExpenses,AAPL,0000320193
2020-09-26,64698000000.0,10-K,Q4,2020.0,2020-10-30,,RevenueFromContractWithCustomerExcludingAssessedTax,12673000000.0,NetIncomeLoss,9914000000.0,OperatingExpenses,AAPL,0000320193
2020-12-26,111439000000.0,10-Q,Q1,2021.0,2021-01-28,,RevenueFromContractWithCustomerExcludingAssessedTax,28755000000.0,NetIncomeLoss,10794000000.0,OperatingExpenses,AAPL,0000320193
2021-03-27,89584000000.0,10-Q,Q2,2021.0,2021-04-29,,RevenueFromContractWithCustomerExcludingAssessedTax,23630000000.0,NetIncomeLoss,10576000000.0,OperatingExpenses,AAPL,0000320193
2021-06-26,81434000000.0,10-Q,Q3,2021.0,2021-07-28,,RevenueFromContractWithCustomerExcludingAssessedTax,21744000000.0,NetIncomeLoss,11129000000.0,OperatingExpenses,AAPL,0000320193
2021-09-25,83360000000.0,10-K,Q4,2021.0,2021-10-29,,RevenueFromContractWithCustomerExcludingAssessedTax,20551000000.0,NetIncomeLoss,11388000000.0,OperatingExpenses,AAPL,0000320193
2021-12-25,123945000000.0,10-Q,Q1,2022.0,2022-01-28,,RevenueFromContractWithCustomerExcludingAssessedTax,34630000000.0,NetIncomeLoss,12755000000.0,OperatingExpenses,AAPL,0000320193
2022-03-26,97278000000.0,10-Q,Q2,2022.0,2022-04-29,,RevenueFromContractWithCustomerExcludingAssessedTax,25010000000.0,NetIncomeLoss,12580000000.0,OperatingExpenses,AAPL,0000320193
2022-06-25,82959000000.0,10-Q,Q3,2022.0,2022-07-29,,RevenueFromContractWithCustomerExcludingAssessedTax,19442000000.0,NetIncomeLoss,12809000000.0,OperatingExpenses,AAPL,0000320193
2022-09-24,90146000000.0,10-K,Q4,2022.0,2022-10-28,,RevenueFromContractWithCustomerExcludingAssessedTax,20721000000.0,NetIncomeLoss,13201000000.0,OperatingExpenses,AAPL,0000320193
2022-12-31,117154000000.0,10-Q,Q1,2023.0,2023-02-03,,RevenueFromContractWithCustomerExcludingAssessedTax,29998000000.0,NetIncomeLoss,14316000000.0,OperatingExpenses,AAPL,0000320193
2023-04-01,94836000000.0,10-Q,Q2,2023.0,2023-05-05,,RevenueFromContractWithCustomerExcludingAssessedTax,24160000000.0,NetIncomeLoss,13658000000.0,OperatingExpenses,AAPL,0000320193
2023-07-01,81797000000.0,10-Q,Q3,2023.0,2023-08-04,,RevenueFromContractWithCustomerExcludingAssessedTax,19881000000.0,NetIncomeLoss,13415000000.0,OperatingExpenses,AAPL,0000320193
2023-09-30,89498000000.0,10-K,Q4,2023.0,2023-11-03,,RevenueFromContractWithCustomerExcludingAssessedTax,22956000000.0,NetIncomeLoss,13458000000.0,OperatingExpenses,AAPL,0000320193
2023-12-30,119575000000.0,10-Q,Q1,2024.0,2024-02-02,,RevenueFromContractWithCustomerExcludingAssessedTax,33916000000.0,NetIncomeLoss,14482000000.0,OperatingExpenses,AAPL,0000320193
2024-03-30,90753000000.0,10-Q,Q2,2024.0,2024-05-03,,RevenueFromContractWithCustomerExcludingAssessedTax,23636000000.0,NetIncomeLoss,14371000000.0,OperatingExpenses,AAPL,0000320193
2024-06-29,85777000000.0,10-Q,Q3,2024.0,2024-08-02,,RevenueFromContractWithCustomerExcludingAssessedTax,21448000000.0,NetIncomeLoss,14326000000.0,OperatingExpenses,AAPL,0000320193
2024-09-28,94930000000.0,10-K,Q4,2024.0,2024-11-01,,RevenueFromContractWithCustomerExcludingAssessedTax,14736000000.0,NetIncomeLoss,14288000000.0,OperatingExpenses,AAPL,0000320193
2024-12-28,124300000000.0,10-Q,Q1,2025.0,2025-01-31,,RevenueFromContractWithCustomerExcludingAssessedTax,36330000000.0,NetIncomeLoss,15443000000.0,OperatingExpenses,AAPL,0000320193
2025-03-29,95359000000.0,10-Q,Q2,2025.0,2025-05-02,,RevenueFromContractWithCustomerExcludingAssessedTax,24780000000.0,NetIncomeLoss,15278000000.0,OperatingExpenses,AAPL,0000320193
2025-06-28,94036000000.0,10-Q,Q3,2025.0,2025-08-01,,RevenueFromContractWithCustomerExcludingAssessedTax,23434000000.0,NetIncomeLoss,15516000000.0,OperatingExpenses,AAPL,0000320193
2025-09-27,102466000000.0,10-K,Q4,2025.0,2025-10-31,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,27466000000.0,NetIncomeLoss,15914000000.0,OperatingExpenses,AAPL,0000320193
2025-12-27,143756000000.0,10-Q,Q1,2026.0,2026-01-30,CY2025Q4,RevenueFromContractWithCustomerExcludingAssessedTax,42097000000.0,NetIncomeLoss,18379000000.0,OperatingExpenses,AAPL,0000320193
